Cluster,name,capacity,,,,,
SOLAR_2,FV_Cardones01,609,,,,,
SOLAR_20,FV_Chuquicamata03,7797.5,,,,,
SOLAR_18,FV_Collahuasi01,2033.5,,,,,
SOLAR_2,FV_Cumbre01,1259,,,,,
SOLAR_2,FV_DAlmagro01,0,,,,,
SOLAR_2,FV_Kimal01,0,x,,,,
SOLAR_3,GUANCHOI_FV,369.6,,,,,
SOLAR_3,HELIOS_FV,3,,,,,
SOLAR_3,INDEPENDENCIA_2_FV,2.7,,,,,
SOLAR_3,JOTABECHE_FV,9,,,,,
SOLAR_3,KAUFMANN_FV,1,,,,,
SOLAR_3,LAS_LOICAS_FV,3,,,,,
SOLAR_3,LAS_PENITAS_FV,9,,,,,
SOLAR_3,LAS_SALINAS_E1_FV,58.6,,,,,
SOLAR_3,LAS_SALINAS_E2_FV,122.8,,,,,
SOLAR_3,LAS_SALINAS_E3_FV,34.8,,,,,
SOLAR_3,LAS_SALINAS_E4_FV,93.5,,,,,
SOLAR_3,LAS_SALINAS_E5_FV,30.1,,,,,
SOLAR_3,LAS_SALINAS_E6_FV,24.2,,,,,
SOLAR_3,LAS_TABLAS_FV,9,,,,,
SOLAR_3,LA_HUELLA_FV,84,,,,,
SOLAR_3,LA_PENA_FV,8,,,,,
SOLAR_3,LA_SIERRA_2_FV,9,,,,,
SOLAR_3,LA_SIERRA_FV,9,,,,,
SOLAR_3,LIBERTAD_1_FV,122,,,,,
SOLAR_3,LIBERTAD_2_FV,122,,,,,
SOLAR_4,LINCURA_FV,9,,,,,
SOLAR_4,LOS_CANONES_SUNLIGHT_FV,9,,,,,
SOLAR_4,LOS_PERALES_FV,3,,,,,
SOLAR_4,LOS_TILOS_FV,3.5,,,,,
SOLAR_4,LOTHAR_FV,3,,,,,
SOLAR_4,MAIKONO_FV,3,,,,,
SOLAR_4,MANAO_FV,3,,,,,
SOLAR_4,MARANON_FV,9,,,,,
SOLAR_4,MICHILLA_FV,9,,,,,
SOLAR_4,MIRADOR_FV,6,,,,,
SOLAR_4,MIRADOR_LEON_FV,2.7,,,,,
SOLAR_4,MITCHI_FV,9,,,,,
SOLAR_4,MONTENEGRO_SOLAR_FV,9,,,,,
SOLAR_4,NORTH_WEST_FV,9,,,,,
SOLAR_4,OVALLE_NORTE_FV,9,,,,,
SOLAR_4,PAINE_FV,9,,,,,
SOLAR_4,PALTO_SUNLIGHT_FV,9,,,,,
SOLAR_4,PARANAL_FV,4,,,,,
SOLAR_4,PARQUE_VALPARAISO_FV,6,,,,,
SOLAR_4,PASTRAN_FV,9,,,,,
SOLAR_4,PELUMPEN_FV,2.9,,,,,
SOLAR_4,PILOTO_CARDONES_FV,0.4,,,,,
SOLAR_4,POROTA_FV,6,,,,,
SOLAR_4,QUETENA_FV,9,,,,,
SOLAR_4,RDCL_SAN_FV,7.5,,,,,
SOLAR_4,RUCASOL_FV,9,,,,,
SOLAR_4,SANTA_INES_FV,2.95,,,,,
SOLAR_4,SANTA_TERESITA_FV,9,,,,,
SOLAR_4,SAN_FRANCISCO_5_FV,6,,,,,
SOLAR_4,SAN_FRANCISCO_PLANTAS_FV,9,,,,,
SOLAR_4,SAN_PEDRO_GPG_FV,104.49,,,,,
SOLAR_4,SIERRA_SOLEADA_FV,9,,,,,
SOLAR_4,SOL_DE_LOS_ANDES_FV,82.36,,,,,
SOLAR_4,SOL_DE_VALLENAR_FV,100,,,,,
SOLAR_4,TABOLANGO_FV,9,,,,,
SOLAR_4,TAMARAMA_FV,9,,,,,
