Cluster,name,capacity
SOLAR_11,PF_Tocopilla,428
SOLAR_11,PILOTO_CARDONES_FV,0.4
SOLAR_12,PIQUERO_E2_FV,6.3
SOLAR_12,PITOTOY_FV,3
SOLAR_12,PITRA_FV,3
SOLAR_12,PORTEZUELO_VERANO_FV,9
SOLAR_12,POZO_ALMONTE_1_FV,9
SOLAR_12,POZO_ALMONTE_2_FV,7.516
SOLAR_12,POZO_ALMONTE_3_FV,16
SOLAR_12,PUERTO_SECO_FV,9
SOLAR_12,PULLALLI_FV,3
SOLAR_12,PUNTA_BAJA_SOLAR_I_FV,2
SOLAR_12,Pica,90
SOLAR_12,Pintados,77
SOLAR_12,PuntadelViento,165
SOLAR_12,QUELTEHUE_FV,3
SOLAR_12,QUETENA_FV,9
SOLAR_12,REXNER_FV,3
SOLAR_12,RINCONADA_FV,8
SOLAR_12,RINCONADA_NORTE_FV,3
SOLAR_12,RIO_ESCONDIDO_FV,145
SOLAR_12,SALVADOR_FV,68
SOLAR_13,SANTA_AMELIA_FV,3
SOLAR_13,SANTA_CECILIA_FV,3
SOLAR_13,SANTA_ISABEL_ETAPA_I_FV,158
SOLAR_13,SAN_ANDRES_FV,48.2
SOLAR_13,SAN_PEDRO_GPG_FV,106
SOLAR_13,SAN_VICENTE_FV,8
SOLAR_13,SLK_CB_NUEVE_FV,3
SOLAR_13,SOL_DE_DESIERTO_1_FV,175
SOLAR_13,SOL_DE_DESIERTO_2_FV,55
SOLAR_13,SOL_DE_LOS_ANDES_FV,89.4
SOLAR_14,Salar_de_Huasco,30
SOLAR_14,Solar_Toro,56
SOLAR_14,Sur_Viejo,93
SOLAR_14,TAMARAMA_FV,9
SOLAR_14,TAMARUGO_FV,3
SOLAR_14,TAMAYA_SOLAR_FV,114
SOLAR_14,TREBAL_SOLAR_FV,3
SOLAR_14,TUCUQUERE_FV,3
SOLAR_14,URIBE_SOLAR_FV,50
SOLAR_14,USYA_FV,52.4
SOLAR_14,VALLE_ESCONDIDO_FV,105
SOLAR_14,VICENTE_FV,2.8
SOLAR_14,VICTORIA_FV,9
SOLAR_14,VILLA_ALEMANA_FV,2.7
SOLAR_14,Wara_III,45
SOLAR_15,ALICAHUE_FV,3
