Cluster,name,capacity,,,,,
Cluster 4,PV_PORVENIR,2.5,SOLAR_5,,,,
Cluster 4,PV_SAN_JAVIER_1,2.5,SOLAR_5,,,,
Cluster 4,PV_FULGOR,2.6,SOLAR_5,,,,
Cluster 4,PV_PUELCHE,2.6,SOLAR_5,,,,
Cluster 4,PV_SANTA_LUISA,2.6,SOLAR_5,,,,
Cluster 4,PV_CARACOLES,2.7,SOLAR_5,,,,
Cluster 4,PV_CHUCAO,2.7,SOLAR_5,,,,
Cluster 4,PV_LUCE_SOLAR,2.7,SOLAR_5,,,,
Cluster 4,PV_PMGD_PARQUE_KALI,2.7,SOLAR_5,,,,
Cluster 4,PV_SANTA_RITA,2.7,SOLAR_5,,,,
Cluster 4,PV_SOL_SANTA_INES,2.7,SOLAR_5,,,,
Cluster 4,PV_CANCURA_2,2.8,SOLAR_5,,,,
Cluster 4,PV_COCHARCAS_2,2.8,SOLAR_5,,,,
Cluster 4,PV_DONA_VICTORIA,2.8,SOLAR_5,,,,
Cluster 4,PV_DON_GERARDO,2.8,SOLAR_5,,,,
Cluster 4,PV_EL_RESPLANDOR,2.8,SOLAR_5,,,,
Cluster 4,PV_HUAPE,2.8,SOLAR_5,,,,
Cluster 4,PV_NANCO,2.8,SOLAR_5,,,,
Cluster 4,PV_QUILLEN,2.8,SOLAR_5,,,,
Cluster 4,PV_RANGUIL,2.8,SOLAR_5,,,,
Cluster 4,PV_BICENTENARIO,2.9,SOLAR_5,,,,
Cluster 4,PV_DAGOBETO,2.9,SOLAR_5,,,,
Cluster 4,PV_DON_JORGE,2.9,SOLAR_5,,,,
Cluster 4,PV_EL_RACO,2.9,SOLAR_5,,,,
Cluster 4,PV_PANGUILEMO,2.9,SOLAR_5,,,,
Cluster 4,PV_PEQUEN,2.9,SOLAR_5,,,,
Cluster 4,PV_PERALILLO,2.9,SOLAR_5,,,,
Cluster 4,PV_RANGUIL_SOLAR_NORTE,2.9,SOLAR_5,,,,
Cluster 4,PV_VILLA_CRUZ_7,2.95,SOLAR_5,,,,
Cluster 4,PV_VILLA_PRAT,2.96,SOLAR_5,,,,
Cluster 4,PV_ALGARROBO_V,3,SOLAR_5,,,,
Cluster 4,PV_ANGOL_SOLAR_I,3,SOLAR_5,,,,
Cluster 4,PV_BULNES_LOS_BARONES,3,SOLAR_5,,,,
Cluster 4,PV_CODORNIZ,3,SOLAR_5,,,,
Cluster 4,PV_COIHUECO_S_C,3,SOLAR_5,,,,
Cluster 4,PV_COIHUECO_V_M,3,SOLAR_5,,,,
Cluster 4,PV_DADINCO,3,SOLAR_5,,,,
Cluster 4,PV_EL_CARDENAL,3,SOLAR_5,,,,
Cluster 4,PV_EL_CUERVO,3,SOLAR_5,,,,
