Cluster,name,capacity
Cluster 1,PV_LAS_PALOMAS,3.0
Cluster 1,PV_LAS_PERDICES,3.0
Cluster 4,PV_LAS_ROJAS,3.0
Cluster 0,PV_LAS_SALINAS,375.0
Cluster 0,PV_LAS_TENCAS,9.0
Cluster 2,PV_LAS_TERRAZAS,3.0
Cluster 1,PV_LAS_TORTOLAS,3.0
Cluster 2,PV_LAS_TURCAS,3.0
Cluster 2,PV_LAUREL,7.5
Cluster 0,PV_LA_ACACIA,8.5
Cluster 3,PV_LA_BLANQUINA,9.0
Cluster 3,PV_LA_BRUJULA,3.0
Cluster 4,PV_LA_CHAPEANA,2.8
Cluster 0,PV_LA_CHIMBA_BIS,2.8
Cluster 3,PV_LA_COLONIA,9.0
Cluster 0,PV_LA_CRUZ,54.7485
Cluster 2,PV_LA_ESTANCIA,3.0
Cluster 3,PV_LA_FORESTA,2.8
Cluster 2,PV_LA_FORTUNA_1,3.0
Cluster 2,PV_LA_FRONTERA,4.8
Cluster 0,PV_LA_GAMBOINA,5.0
Cluster 4,PV_LA_HUAYCA,25.05
Cluster 2,PV_LA_HUELLA,84.0
Cluster 3,PV_LA_LAJUELA,6.6
Cluster 2,PV_LA_MANGA_1,3.5
Cluster 3,PV_LA_MURALLA,2.5
Cluster 1,PV_LA_PALMA,9.0
Cluster 0,PV_LA_PERLA_DEL_NORTE,9.0
Cluster 2,PV_LA_QUINTA,3.0
Cluster 0,PV_LA_SIERRA_I,9.0
Cluster 0,PV_LA_SIERRA_II,9.0
Cluster 2,PV_LA_SILLA,1.9
Cluster 1,PV_LEMU,5.0
Cluster 1,PV_LGS,3.0
Cluster 1,PV_LINARES,1.5
Cluster 1,PV_LINARES_SAN_ANTONIO,3.0
Cluster 1,PV_LINARES_SOLAR,9.0
Cluster 1,PV_LINARES_VDN,3.0
Cluster 3,PV_LINGUE,3.0
Cluster 2,PV_LIPANGUE,3.0
Cluster 3,PV_LIRIO_DE_CAMPO,2.5
Cluster 3,PV_LITORAL,9.0
Cluster 3,PV_LITRE,3.0
Cluster 4,PV_LLANOS_DEL_POTROSO,9.0
Cluster 2,PV_LLANO_LLAMPOS,95.0
Cluster 2,PV_LLAYLLAY_1Y,3.0
Cluster 2,PV_LLAY_LLAY,9.0
Cluster 4,PV_LLUTA_SOLAR,3.0
Cluster 0,PV_LOCKMA,10.8
Cluster 1,PV_LOICA,3.0
Cluster 0,PV_LOMAS_COLORADAS,2.0
Cluster 0,PV_LOMA_LOS_COLORADOS,18.2
Cluster 3,PV_LOMA_TENDIDA_DEL_VERANO_SOLAR,3.0
Cluster 0,PV_LORETO_SOLAR,2.97
Cluster 2,PV_LOS_ANDES,9.0
Cluster 3,PV_LOS_CANONES_SUNLIGHT,9.0
Cluster 3,PV_LOS_CISNES,7.9
Cluster 3,PV_LOS_CORRALES_DEL_VERANO,9.0
Cluster 2,PV_LOS_GIRASOLES,2.96
Cluster 1,PV_LOS_GORRIONES,3.0
Cluster 2,PV_LOS_JOTES,3.0
Cluster 0,PV_LOS_LAGOS_X,2.2
Cluster 0,PV_LOS_LIBERTADORES,8.0
Cluster 2,PV_LOS_LOROS,50.0
Cluster 3,PV_LOS_MOLINOS,9.0
Cluster 4,PV_LOS_PALTOS,2.5
Cluster 1,PV_LOS_PATOS,3.0
Cluster 2,PV_LOS_PERALES_1,2.0
Cluster 2,PV_LOS_PERALES_1_2,1.0
Cluster 4,PV_LOS_PUQUIOS,2.47
Cluster 1,PV_LOS_SAUCES_SOLAR_I,3.0
Cluster 1,PV_LOS_SAUCES_SOLAR_II,3.0
Cluster 1,PV_LOS_TOLDOS,3.0
Cluster 1,PV_LOS_TORDOS,5.0
Cluster 2,PV_LO_BOZA,0.8
Cluster 0,PV_LO_MIRANDA,6.0
Cluster 3,PV_LO_SIERRA,3.0
Cluster 1,PV_LUCE_SOLAR,2.7
Cluster 1,PV_LUCUMO,3.0
Cluster 0,PV_LUDERS,2.6
Cluster 3,PV_LUMBRERA,3.0
Cluster 4,PV_LUNA,2.68
Cluster 2,PV_LUZ_DEL_NORTE,141.0
Cluster 1,PV_MACHICURA,9.0
Cluster 2,PV_MAITENES,9.0
Cluster 2,PV_MALAQUITA_2,9.0
Cluster 2,PV_MALGARIDA_1,28.0
Cluster 2,PV_MALGARIDA_2,172.7
Cluster 1,PV_MALINKE,3.0
Cluster 3,PV_MALLOCO,9.0
Cluster 1,PV_MANAO,3.0
Cluster 3,PV_MANDINGA,9.0
Cluster 3,PV_MARAMBIO,2.7
Cluster 0,PV_MARCHIGUE_2,9.0
Cluster 3,PV_MARCHIGUE_7,3.0
Cluster 0,PV_MARIA_ELENA,67.71
Cluster 3,PV_MARIA_PINTO,3.0
Cluster 2,PV_MARIN,3.0
Cluster 1,PV_MECO_CHILLAN,6.7
Cluster 3,PV_MELI,9.0
Cluster 1,PV_MERCURIO_SUR,3.0
Cluster 2,PV_MESETA_DE_LOS_ANDES,152.5
Cluster 0,PV_MITCHI,9.0
Cluster 1,PV_MOLINA,9.0
Cluster 4,PV_MONTT_SOLAR,3.0
Cluster 0,PV_MOSTAZAL,9.0
Cluster 1,PV_MOYA,9.0
Cluster 1,PV_MUTUPIN,9.0
Cluster 2,PV_NAHUEN,9.0
Cluster 0,PV_NANCAGUA,6.0
Cluster 1,PV_NANCO,2.8
Cluster 3,PV_NAZARINO_DEL_VERANO_SOLAR,3.0
Cluster 3,PV_NEWENTUN,6.0
Cluster 3,PV_NIHUE,2.9
Cluster 0,PV_NILHUE,1.1
Cluster 1,PV_NIQUEN,3.0
Cluster 4,PV_NORTE_CHICO_1,2.0
Cluster 4,PV_NUEVO_QUILLAGUA,100.0
Cluster 2,PV_OCOA,2.9
Cluster 2,PV_OCOA_2,3.5
Cluster 2,PV_OLIVILLO,9.0
Cluster 1,PV_ORION_SOLAR,3.0
Cluster 2,PV_OVALLE_NORTE,9.0
Cluster 2,PV_OVEJERIA,9.0
Cluster 1,PV_PACHIRA,9.0
Cluster 2,PV_PAINE,9.0
Cluster 3,PV_PAINE_(NUEVO_HORIZONTE),7.4
Cluster 3,PV_PALERMO,9.0
Cluster 3,PV_PALMILLA_CRUZ,9.0
Cluster 3,PV_PALTO_SUNLIGHT,9.0
Cluster 0,PV_PAMA,1.99
Cluster 2,PV_PAMPA_SOLAR_NORTE,69.0
Cluster 0,PV_PAMPA_TIGRE,100.0
Cluster 1,PV_PANGUILEMO,2.9
Cluster 2,PV_PANQUEHUE_2,6.0
Cluster 1,PV_PARAGUAY,9.0
Cluster 3,PV_PARQUE_FOTOVOLTAICO_EL_MANZANO,87.0
Cluster 3,PV_PARQUE_LAS_PENITAS,9.0
Cluster 3,PV_PARQUE_LOS_HUERTOS,9.0
Cluster 1,PV_PARQUE_PVP_ITIHUE,9.0
Cluster 3,PV_PARQUE_SOLAR_FOTOVOLTAICO_CARENA,9.0
Cluster 1,PV_PARQUE_SOLAR_FOTOVOLTAICO_LA_VICTORIA,9.0
Cluster 4,PV_PARQUE_TACNA,9.0
Cluster 2,PV_PARQUE_VALPARAISO,6.0
Cluster 2,PV_PASTRAN,9.0
Cluster 3,PV_PATRICIA_DEL_VERANO_SOLAR,9.0
Cluster 3,PV_PEDREROS,3.0
Cluster 2,PV_PELICANO,107.259
Cluster 1,PV_PELLIN,10.0
Cluster 1,PV_PEL_TIUQUE,3.0
Cluster 3,PV_PENAFLOR_1,9.0
Cluster 3,PV_PEPA_SOLAR_1,9.0
Cluster 1,PV_PEQUEN,2.9
Cluster 1,PV_PERALILLO,2.9
Cluster 1,PV_PEUMO,8.0
Cluster 0,PV_PFV_AYLA_SOLAR,9.0
Cluster 2,PV_PFV_EL_HALCON,3.0
Cluster 4,PV_PFV_EL_RAYADOR,9.0
Cluster 4,PV_PFV_LAS_TAGUAS,9.0
Cluster 4,PV_PICA_1,0.63
Cluster 0,PV_PICURIO,3.0
Cluster 0,PV_PIDUCO,3.0
Cluster 0,PV_PILAR_LOS_AMARILLOS,3.0
Cluster 0,PV_PILOTO_CARDONES,0.4
Cluster 3,PV_PILPILEN,2.75
Cluster 3,PV_PIQUERO_E2,6.3
