Num,generators,gen_types,nombres,zonas
,PUELCHE_FV,solar,SOLAR_5,SEN
,QUEULE_FV,solar,SOLAR_5,SEN
,SANTA_CLARA_FV,solar,SOLAR_5,SEN
,SANTA_ESTER_FV,solar,SOLAR_5,SEN
,SANTA_LUISA_FV,solar,SOLAR_5,SEN
,SANTA_RITA_FV,solar,SOLAR_5,SEN
,SANTA_ROSA_FV,solar,SOLAR_5,SEN
,SAN_CARLOS_FV,solar,SOLAR_5,SEN
,SAN_JAVIER_1_FV,solar,SOLAR_5,SEN
,SATURNO_NORTE_FV,solar,SOLAR_5,SEN
,SAUCE_7_SOLES_FV,solar,SOLAR_5,SEN
,SOL_DEL_NORTE_FV,solar,SOLAR_5,SEN
,SOL_SANTA_INES_FV,solar,SOLAR_5,SEN
,TAMBO_REAL_FV,solar,SOLAR_5,SEN
,TRICAHUE_2_FV,solar,SOLAR_5,SEN
,TRICA_DOS_FV,solar,SOLAR_5,SEN
,VENTURADA_FV,solar,SOLAR_5,SEN
,VILLA_PRAT_FV,solar,SOLAR_5,SEN
,VILLA_SECA_FV,solar,SOLAR_5,SEN
,VITUCO_2B_FV,solar,SOLAR_5,SEN
,Victoria 13.2 I,solar,SOLAR_5,SEN
,WATTS_LONQUEN_FV,solar,SOLAR_5,SEN
,ALTOS_DEL_PAICO_FV,solar,SOLAR_3,SEN
,ANDES_2A_FV,solar,SOLAR_3,SEN
,ANDES_FV,solar,SOLAR_3,SEN
,AZABACHE_FV,solar,SOLAR_3,SEN
,CALAMA_1_FV,solar,SOLAR_3,SEN
,CERRO_DOMINADOR_FV,solar,SOLAR_4,SEN
,CHIMBARONGO_FV,solar,SOLAR_4,SEN
,CRUCERO_SOLAR_FV,solar,SOLAR_4,SEN
,DEL_DESIERTO_FV,solar,SOLAR_4,SEN
,DOMEYKO_FV,solar,SOLAR_4,SEN
,ECLIPSE_FV,solar,SOLAR_4,SEN
,EL_MONTE_FV,solar,SOLAR_4,SEN
,JAMA_1_FV,solar,SOLAR_4,SEN
,JAMA_2_FV,solar,SOLAR_4,SEN
,LAS_TURCAS_FV,solar,SOLAR_4,SEN
,LAUREL_FV,solar,SOLAR_4,SEN
,LIRIO_DE_CAMPO_FV,solar,SOLAR_5,SEN
,LOS_ANDES_FV,solar,SOLAR_5,SEN
,LOS_MOLINOS_FV,solar,SOLAR_5,SEN
,LUMBRERAS_FV,solar,SOLAR_5,SEN
,MANDINGA_FV,solar,SOLAR_5,SEN
,MARAMBIO_FV,solar,SOLAR_5,SEN
,MARIA_PINTO_FV,solar,SOLAR_5,SEN
,NAHUEN_FV,solar,SOLAR_5,SEN
,NIHUE_FV,solar,SOLAR_5,SEN
,PSF_LO_SIERRA_FV,solar,SOLAR_5,SEN
,QUILLAY_FV,solar,SOLAR_5,SEN
,RLA_FV,solar,SOLAR_5,SEN
,SALERNO_FV,solar,SOLAR_5,SEN
,SANTA_ADRIANA_FV,solar,SOLAR_5,SEN
,SAN_ANTONIO_FV,solar,SOLAR_5,SEN
,SAN_ANTONIO_MALVILLA_FV,solar,SOLAR_5,SEN
,SAN_PEDRO_FV,solar,SOLAR_5,SEN
,SOL_DEL_NORTE_ANDES_FV,solar,SOLAR_5,SEN
,SOL_DE_LILA_FV,solar,SOLAR_5,SEN
,ANTAY_FV,solar,SOLAR_6,SEN
,ASTILLAS_FV,solar,SOLAR_6,SEN
,ATACAMA_SOLAR_2_FV,solar,SOLAR_6,SEN
,Almonte,solar,SOLAR_6,SEN
,Arica_Solar,solar,SOLAR_6,SEN
,BELLAVISTA_1_FV,solar,SOLAR_6,SEN
,BOLERO_1_FV,solar,SOLAR_6,SEN
,BRAMADA_FV,solar,SOLAR_6,SEN
,CAMPOS_DEL_SOL_2_FV,solar,SOLAR_6,SEN
,CAMPOS_DEL_SOL_FV,solar,SOLAR_7,SEN
,CARACAS_1_FV,solar,SOLAR_7,SEN
,CARACAS_2_FV,solar,SOLAR_7,SEN
,CARRERA_PINTO_FV,solar,SOLAR_7,SEN
,CASTILLA_FV,solar,SOLAR_7,SEN
,CHANARES_FV,solar,SOLAR_7,SEN
,COVADONGA_FV,solar,SOLAR_7,SEN
,Cardones_FV,solar,SOLAR_7,SEN
,Carrera_Pinto_II,solar,SOLAR_7,SEN
,DAS_FV,solar,SOLAR_7,SEN
,DIEGO_ALMAGRO_SUR_FV,solar,SOLAR_8,SEN
,EL_AGUILA_FV,solar,SOLAR_8,SEN
,EL_NANDU_FV,solar,SOLAR_8,SEN
,EL_QUEMADO_FV,solar,SOLAR_8,SEN
,ESFENA_FV,solar,SOLAR_8,SEN
,Elena_FV,solar,SOLAR_8,SEN
,FINIS_TERRAE_FV,solar,SOLAR_8,SEN
